date,quantity,facebookPost,instagramPost,twitterPost
2018-01-03,2,1,0,0
2017-10-03,8,1,1,1
2018-07-02,2,0,0,1
2017-10-02,1,1,0,0
2017-11-08,63,1,0,1
2018-08-03,1,1,2,2
2018-07-03,1,0,0,0
2016-06-27,17,1,0,0
2017-10-16,395,0,0,0
2017-10-17,67,0,0,0
2016-06-23,1,0,0,0
2016-06-22,9,3,1,1
2016-06-21,239,6,0,2
2018-07-23,1,1,2,1
2017-06-07,3,2,0,0
2016-01-09,11,1,0,0
2016-06-29,4,0,0,0
2017-02-23,422,1,0,0
2017-11-01,3,2,2,1
2018-01-10,5,0,0,0
2016-03-07,29,1,0,0
2017-09-18,437,1,2,1
2018-05-14,1,1,0,2
2018-07-25,3,0,0,0
2017-09-19,1,1,0,1
2018-05-18,4,0,0,0
2017-05-11,19,1,1,0
2017-11-10,25,2,0,1
2016-09-22,2,3,0,0
2017-06-17,39,0,0,0
2017-02-24,591,1,1,0
2016-09-21,29,0,0,0
2016-09-26,1,0,0,0
2016-01-16,27,1,0,2
2016-01-15,2,4,2,2
2017-06-16,2,1,0,0
2017-05-10,7,0,0,0
2017-03-31,482,0,0,0
2017-05-16,2,0,0,0
2016-12-27,18,2,1,1
2017-12-29,10,0,0,0
2016-09-12,97,1,0,0
2018-07-31,2,1,0,0
2018-07-30,38,2,0,0
2016-12-28,5,1,0,0
2017-12-28,34,0,0,0
2016-02-23,37,2,0,2
2016-02-27,2,0,1,2
2017-01-11,25,0,0,0
2016-03-14,6,1,0,1
2016-11-10,19,0,0,0
2016-11-11,13,3,1,1
2018-03-08,422,0,0,0
2017-02-10,21,0,0,0
2016-08-30,152,0,0,0
2016-08-31,13,1,0,0
2017-08-02,2,0,0,0
2017-05-23,4,0,0,0
2017-07-28,19,1,0,0
2017-07-25,1,1,1,0
2016-09-30,108,1,0,0
2017-07-21,37,0,0,0
2017-07-20,5,0,0,0
2018-03-09,1,1,1,1
2017-04-06,2,1,0,1
2017-01-16,44,2,0,1
2017-03-23,7,3,0,0
2017-04-05,7,1,0,0
2017-05-05,34,0,0,0
2017-03-24,1,2,0,0
2018-04-17,2,0,0,0
2017-03-29,13,1,0,0
2018-06-05,3,0,0,0
2017-03-06,1,3,0,0
2017-01-05,81,2,1,2
2016-03-21,12,1,0,0
2018-07-24,32,0,0,0
2016-03-26,1,0,0,0
2017-01-02,3,0,0,0
2017-09-16,15,0,0,0
2017-01-12,18,0,0,0
2016-11-02,147,0,0,0
2017-01-09,43,0,0,0
2018-07-17,33,2,2,1
2017-10-14,15,2,0,0
2018-01-08,436,0,0,0
2018-01-09,21,3,0,0
2018-02-20,6,0,0,0
2016-08-25,4,0,0,0
2016-08-24,97,0,1,1
2016-08-26,5,1,0,0
2018-05-04,2,1,0,1
2016-08-23,4,2,1,1
2016-08-22,19,0,0,1
2017-02-01,1,0,0,0
2016-05-24,14,1,0,1
2017-07-13,431,1,0,0
2016-09-08,41,1,1,0
2017-08-14,404,1,0,0
2017-02-06,10,0,0,1
2017-02-07,1,0,0,0
2017-02-08,2,0,0,0
2017-02-09,50,0,0,0
2018-03-22,1,1,1,1
2018-06-27,2,0,0,0
2018-03-21,1,0,0,0
2017-03-15,2,0,0,0
2017-03-16,29,1,0,0
2017-03-17,12,1,0,0
2017-03-10,237,3,0,0
2016-12-01,1,2,0,0
2017-04-13,10,1,0,0
